error	http://localhost:3000/api/index-oak	http://localhost:3000/api/index-oak	url_error:[Errno 61] Connection refused
200	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf	ok
200	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf#:~:text=At%20this%20point%2C%20data%20is,the%20product%20catalog%2C%20since%20it	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf#:~:text=At%20this%20point%2C%20data%20is,the%20product%20catalog%2C%20since%20it	ok
200	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf#:~:text=documents,viable%20tool%20in%20a%20relevant	https://graphaware.com/wp-content/uploads/2024/10/graphpoweredsearch-neo4j-elasticsearch.pdf#:~:text=documents,viable%20tool%20in%20a%20relevant	ok
200	https://huggingface.co/blog/inference-providers-cohere	https://huggingface.co/blog/inference-providers-cohere	ok
200	https://huggingface.co/docs/inference-providers/en/index	https://huggingface.co/docs/inference-providers/en/index	ok
403	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx	http_error
403	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=%E2%80%9CCombining%20Hugging%20Face%E2%80%99s%20embeddings%20with,%E2%80%9D	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=%E2%80%9CCombining%20Hugging%20Face%E2%80%99s%20embeddings%20with,%E2%80%9D	http_error
403	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=%E2%80%9CDevelopers%20are%20at%20the%20heart,%E2%80%9D	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=%E2%80%9CDevelopers%20are%20at%20the%20heart,%E2%80%9D	http_error
403	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=Inference%20API%20cts,with%20Hugging%20Face%20Inference%20Endpoints	https://ir.elastic.co/news/news-details/2024/Elasticsearch-Open-Inference-API-Extends-Support-for-Hugging-Face-Models-with-Semantic-Text/default.aspx#:~:text=Inference%20API%20cts,with%20Hugging%20Face%20Inference%20Endpoints	http_error
403	https://medium.com/@bijit211987/advanced-rag-with-knowledge-graphs-24262f289b98	https://medium.com/@bijit211987/advanced-rag-with-knowledge-graphs-24262f289b98	http_error
403	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a	http_error
403	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=As%20shown%20in%20the%20above,In	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=As%20shown%20in%20the%20above,In	http_error
403	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=There%20are%20multiple%20techniques%20and,to%20use%20knowledge%20graphs%20instead	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=There%20are%20multiple%20techniques%20and,to%20use%20knowledge%20graphs%20instead	http_error
403	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=user%20or%20from%20the%20preprocessing,In	https://medium.com/@kyrillos.eskander/query-expansion-using-knowledge-graphs-6353a8043b5a#:~:text=user%20or%20from%20the%20preprocessing,In	http_error
